project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users
480,Generic,https://github.com/gregwiechec/wiola-website.git,false,false,false,0,0,18076,1,,,,0,1,JavaScript,136166576,true,true,true,false,1585656635,1585656826,1644529577,"master","MIT License","","",2,582,50,26,51
481,Generic,https://github.com/gsantella/se-group.git,false,false,false,1,1,6097,10,,,,1,1,JavaScript,76986085,true,true,true,false,1567686222,1571918902,1644672310,"master","","https://se-group.gsantella.now.sh","",17,124,6,6,7
482,Generic,https://github.com/gt4w-consultoria/vue-form-generator-gt4w.git,false,false,false,1,1,10405,19,,,,0,4,JavaScript,182964615,true,true,true,false,1586781560,1587475020,1644751479,"master","MIT License","","Adaptação do vue-form-generator para o ElementUI e outros tweaks.",20,936,39,26,40
483,Generic,https://github.com/gturcat/test_guillaume_turcat.git,false,false,false,1,1,13752,28,,,,0,1,JavaScript,81373323,true,true,true,false,1563790845,1591102860,1645164132,"master","","","",74,210,3,2,4
484,Generic,https://github.com/guptabhavana08/headstocks.git,false,false,false,0,0,36257,15,,,,0,1,JavaScript,72718347,true,true,true,true,1575084165,1575267989,1644694037,"master","","","Website for Investors",17,690,7,7,8
485,Generic,https://github.com/gustavoernandes/gatsby-starter-netlify-cms.git,false,false,false,0,0,18082,1,,,,0,1,JavaScript,136166638,true,true,true,false,1585847151,1585847326,1644529639,"master","MIT License","","",2,585,50,26,51
486,Generic,https://github.com/gzh51907/khly.git,false,false,false,0,0,11729,37,,,,0,2,JavaScript,72774794,true,true,true,false,1572417640,1572851650,1645193221,"master","","","项目：康辉旅游  组长：秦慧云，组员：郑伯桂，陈东涛，汪云飞",43,130,6,6,7
487,Generic,https://github.com/hackbrowser/hackbrowser.git,false,true,false,21,21,31599,17,,,,7,4,JavaScript,123592885,true,true,false,false,1451129464,1643934710,1574722350,"master","MIT License","","A hackable, cross-platform Chromium-based browser written in JS",2,124,2,3,4
488,Generic,https://github.com/hahalulu/react-admin.git,false,false,false,0,0,94091,0,,,,0,1,JavaScript,76308028,true,true,true,false,1588735640,1588735741,1588735723,"master","MIT License","","",11,4300,219,125,221
489,Generic,https://github.com/hakimel/reveal.js.git,false,false,false,58548,58548,17817,690,,,,16023,1722,JavaScript,337976232,true,true,true,true,1307472862,1645621056,1645450103,"master","MIT License","https://revealjs.com","The HTML Presentation Framework",4,2890,332,292,336
490,Generic,https://github.com/halvadar/archos.git,false,false,false,0,0,15190,2,,,,0,1,JavaScript,64934537,true,true,true,true,1571142983,1624837773,1635965868,"master","","","",4,105,4,3,5
491,Generic,https://github.com/handlebars-lang/handlebars.js.git,false,false,false,16434,16434,5212,82,,,,2062,457,JavaScript,361970292,true,true,false,false,1280602486,1645608954,1642534994,"master","MIT License","http://handlebarsjs.com","Minimal templating on steroids.",15,2075,198,147,200
